id,price,bedrooms,lon,lag
1014775,2400,1.0,-73.9521,40.7702
1015697,2750,3.0,-73.902,40.9121
1023782,2395,1.0,-73.9494,40.7625
1026930,2245,1.0,-73.9804,40.7245
1027460,3495,2.0,-73.994,40.7633
1031449,1999,0.0,-73.9905,40.763
1033465,3199,2.0,-73.9905,40.763
1034207,3250,2.0,-73.9905,40.763
1035234,2695,0.0,-73.9956,40.7602
1035235,3295,0.0,-73.977,40.7654
1035236,8495,2.0,-73.9885,40.7629
1039946,9995,2.0,-73.9892,40.7345
1041020,5200,1.0,-74.0021,40.7441
1048442,3295,1.0,-73.9827,40.7613
1049261,2900,1.0,-73.9744,40.7447
1049261,2900,1.0,-73.9744,40.7447
1050276,3950,1.0,-73.9662,40.7953
1051388,7500,3.0,-74.0032,40.7395
1051674,4000,1.0,-73.9827,40.7613
1057419,2700,1.0,-73.978,40.79
1060255,4800,2.0,-73.9732,40.7892
1084926,3950,3.0,-73.9426,40.8022
1084926,3950,3.0,-73.9426,40.8022
1085332,4150,2.0,-73.9842,40.7668
1086830,5499,2.0,-73.9611,40.7702
1090589,3900,2.0,-73.9536,40.7884
1090598,3600,2.0,-73.9534,40.7884
1095027,4000,2.0,-73.9893,40.7251
1098277,5500,1.0,-73.974,40.7623
1109559,2895,2.0,-73.9808,40.721
1112127,3600,1.0,-73.9805,40.7796
1112907,33000,2.0,-73.9786,40.7662
1112934,40000,2.0,-73.9786,40.7662
1114354,14300,1.0,-73.9786,40.7662
1114594,7890,2.0,-74.0033,40.7434
1114594,8200,2.0,-74.0033,40.7434
1115013,3100,1.0,-73.9893,40.7242
1115801,4650,1.0,-73.986,40.77
1117710,13800,1.0,-73.9786,40.7662
1120910,1500,1.0,-73.9528,40.6432
1120910,1500,1.0,-73.9528,40.6432
1123084,6495,2.0,-73.9788,40.7845
1126197,5495,3.0,-73.958,40.7616
1128632,8300,2.0,-73.9793,40.7647
1141874,11250,2.0,-74.0028,40.7369
1145602,2990,0.0,-73.9861,40.7528
1145602,2990,0.0,-73.9861,40.7528
1150494,4700,1.0,-74.0104,40.7054
1150689,7000,1.0,-73.9697,40.7618
1152435,2550,1.0,-73.9825,40.6621
1152613,2850,2.0,-73.9453,40.8087
